"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,96,4,0,98,92,6,2,95,91,7,2,95,87,10,3,94,,1156,334,29,1/1/2019,12/31/2019
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,98,2,0,99,95,4,1,97,90,8,2,96,92,7,1,97,,1319,264,20,1/1/2019,12/31/2019
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,96,4,0,98,92,6,2,95,88,10,2,94,83,15,2,93,,1298,363,28,1/1/2019,12/31/2019
03C0001016,SURGERY CENTER OF PEORIA LLC,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 933-2900,99,1,0,100,92,7,1,95,93,7,0,96,87,13,0,95,,1024,268,26,1/1/2019,12/31/2019
03C0001052,WARNER PARK SURGERY CENTER LLC DBA CENTER FOR ADVANCE SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,97,3,0,98,91,7,2,94,88,10,2,95,86,12,2,94,,1050,350,33,1/1/2019,12/31/2019
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97,3,0,98,87,10,3,92,87,12,1,95,86,13,1,95,,918,265,29,1/1/2019,12/31/2019
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,96,3,1,98,92,6,2,95,90,8,2,95,88,10,2,95,,1144,310,27,1/1/2019,12/31/2019
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,98,2,0,99,89,9,2,94,89,10,1,94,88,11,1,96,,895,189,21,1/1/2019,12/31/2019
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,97,3,0,99,93,6,1,96,91,7,2,96,89,9,2,95,,981,332,34,1/1/2019,12/31/2019
03C0001286,DIGESTIVE HEALTH SPECIALISTS,"8573 EAST PRINCESS DR, SUITE 117",SCOTTSDALE,AZ,85255,,(480) 513-2455,98,2,0,99,91,7,2,94,93,6,1,97,90,8,2,96,,864,334,39,1/1/2019,12/31/2019
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,95,4,1,97,90,8,2,94,82,15,3,93,80,17,3,92,,1043,359,34,1/1/2019,12/31/2019
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,98,2,0,99,92,7,1,95,87,11,2,95,87,12,1,95,,1030,437,42,1/1/2019,12/31/2019
03C0001298,SURGICAL ELITE OF AVONDALE LLC,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,98,2,0,99,92,7,1,95,90,7,3,95,90,9,1,96,,1066,240,23,1/1/2019,12/31/2019
03C0001302,PINNACLE SURGERY CENTER OF PEORIA LLC,6790 W. THUNDERBIRD RD.,PEORIA,AZ,85381,,(623) 979-1717,97,2,1,98,91,7,2,94,89,7,4,95,83,14,3,92,,800,231,29,1/1/2019,12/31/2019
03C0001305,DESERT RIDGE OUTPATIENT SURGERY LLC,20940 NORTH TATUM BLVD SUITE 100,PHOENIX,AZ,85050,,(480) 502-4020,97,3,0,98,91,8,1,95,87,11,2,95,88,10,2,95,,988,323,33,1/1/2019,12/31/2019
03C0001356,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,18555 NORTH 79TH AVE BUILDING C,GLENDALE,AZ,85308,,(623) 776-2500,97,3,0,99,93,6,1,96,92,6,2,96,90,8,2,96,,820,181,22,1/1/2019,12/31/2019
03C0001357,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,2450 EAST GUADALUPE RD SUITE 101,GILBERT,AZ,85234,,(480) 398-8456,98,2,0,99,93,6,1,96,87,12,1,95,83,16,1,94,,979,244,25,1/1/2019,12/31/2019
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,97,3,0,98,88,10,2,93,86,12,2,94,84,13,3,93,,1245,423,34,1/1/2019,12/31/2019
05C0001174,MISSION AMBULATORY SURGICENTER LTD,"26730 CROWN VALLEY PARKWAY, SUITE 100",MISSION VIEJO,CA,92691,,(949) 364-7716,,,,,,,,,,,,,,,,,4,,,,,
