STATE,REGION,COUNTY,FIPSCODE,YEAR,AHRF_USDA_RUCC_2013,NCHS_URCS_2006,NCHS_URCS_2013,TERRITORY,ACS_TOTAL_POP_WT,ACS_PCT_AGE_65UP,ACS_PCT_AGE_0_17,ACS_PCT_AGE_15_17,ACS_PCT_AGE_0_4,ACS_PCT_AGE_5_9,ACS_PCT_AGE_10_14,ACS_PCT_AGE_18_44,ACS_PCT_AGE_45_64,ACS_PCT_AGE_80UP,ACS_MEDIAN_AGE,ACS_PCT_FEMALE,ACS_PCT_WHITE,ACS_PCT_BLACK,ACS_PCT_AIAN,ACS_PCT_ASIAN,ACS_PCT_NHPI,ACS_PCT_MULT_RACE,ACS_PCT_HISPAN,ACS_PCT_VA,ACS_PCT_GULFWAR_2001,ACS_PCT_GULFWAR_1990,ACS_PCT_LIMIT_ENGLISH,ACS_PCT_ENGL_VERY_WELL,ACS_PCT_ENGL_WELL,ACS_PCT_ENGL_NOT_WELL,ACS_PCT_ENGL_NOT_ALL,ACS_PCT_ENGLISH,ACS_PCT_SPANISH,ACS_PCT_OTH_EURP,ACS_PCT_API_LANG,ACS_PCT_OTH_LANG,ACS_PCT_FOREIGN_BORN,ACS_PCT_CTZ_US_BORN,ACS_PCT_CTZ_NONUS_BORN,ACS_PCT_NON_CITIZEN,ACS_PCT_NONCTN_1990,ACS_PCT_NONCTN_2010,ACS_PCT_DISABLE,ACS_PCT_VA_DISABLE,ACS_PCT_NONVA_DISABLE,ACS_PCT_GRP_QRT,ACS_PCT_UNEMPLOY,ACS_PCT_VA_UNEMPL,ACS_PCT_VA_LABOR_FORCE,ACS_PCT_NATURE,ACS_PCT_CONSTRUCT,ACS_PCT_MANUFACT,ACS_PCT_WHOLESALE,ACS_PCT_RETAIL,ACS_PCT_TRANSPORT,ACS_PCT_INFORM,ACS_PCT_FINANCE,ACS_PCT_PROFESS,ACS_PCT_EDUC,ACS_PCT_ART,ACS_PCT_OTHER,ACS_PCT_ADMIN,ACS_PCT_ARMED_FORCES,ACS_MEDIAN_HH_INCOME,ACS_VA_MEDIAN_INCOME,ACS_NONVA_MEDIAN_INCOME,ACS_PER_CAPITA_INCOME,ACS_GINI_INDEX,ACS_PCT_PERSON_INC99,ACS_PCT_PERSON_INC124,ACS_PCT_INC137,ACS_PCT_PERSON_INC199,ACS_PCT_PERSON_INC200,ACS_PCT_INC400,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_FOOD_STAMP,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_1FAM_HH_FOOD_STMP,ACS_PCT_CHILD_1FAM,ACS_PCT_1UP_PERS_1ROOM,ACS_PCT_NO_VEH,ACS_PCT_MOBILE_HOME,ACS_PCT_10UNITS,ACS_TOTAL_HOUSEHOLD,ACS_MEDIAN_RENT,ACS_MEDIAN_HOME_VALUE,ACS_PCT_RENT_COST_30PCT,ACS_PCT_RENTED_HH,ACS_PCT_VACANT_HH,ACS_HH_SIZE,ACS_PCT_HH_1PERS,ACS_PCT_OWNED_HH,ACS_PCT_OWNER_HH_CHILD,ACS_PCT_RENTER_HH_CHILD,ACS_PCT_CHILD_DISAB,ACS_PCT_GRANDKID_TOT,ACS_PCT_GRANDP_RESPS,ACS_PCT_GRANDP_RESPS_NO_P,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_RENTER_65UP,ACS_PCT_HH_NO_FUEL,ACS_PCT_INTERNET,ACS_PCT_NO_PC,ACS_PCT_SMARTPHONE,ACS_PCT_BROADBAND,ACS_PCT_DRIVE_2WORK,ACS_PCT_PUBL_TRANSIT,ACS_PCT_WALK_2WORK,ACS_PCT_TAXICAB_2WORK,ACS_PCT_COMMT_15MIN,ACS_PCT_COMMT_29MIN,ACS_PCT_COMMT_59MIN,ACS_PCT_COMMT_60MINUP,ACS_PCT_PUB_COMMT_15MIN,ACS_PCT_PUB_COMMT_29MIN,ACS_PCT_PUB_COMMT_59MIN,ACS_PCT_PUB_COMMT_60MINUP,ACS_PCT_WORK_NO_CAR,ACS_PCT_MEDICAID_ANY,ACS_PCT_MEDICARE_ONLY,ACS_PCT_PRIVATE_ANY,ACS_PCT_UNINSURED,ACS_PCT_PRIVATE_EMPL,ACS_PCT_PRIVATE_SELF,ACS_PCT_PRIVATE_2,ACS_PCT_PRIVATE_OTHER,ACS_PCT_PRIVATE_MDCR,ACS_PCT_TRICARE_VA,ACS_PCT_PUBLIC_OTHER,ACS_PCT_OTHER_INS,ACS_PCT_PUBLIC_ONLY,ACS_PCT_MEDICAID_ANY64,ACS_PCT_PRIVATE_ANY64,ACS_PCT_UNINSURED64,ACS_PCT_PRIVATE_EMPL64,ACS_PCT_PRIVATE_SELF64,ACS_PCT_TRICARE_VA64,ACS_PCT_LT_HS,ACS_PCT_HS_GRADUATE,ACS_PCT_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,ACS_PCT_GRADUATE_DGR,ACS_PCT_POSTHS_ED,ACS_PCT_VA_COLLEGE,ACS_PCT_VA_BACHELOR,ACS_PCT_SELF_MDCR,ACS_PCT_1UP_OWNER_1ROOM,ACS_PCT_1UP_RENT_1ROOM,AHRF_COMM_HLTH_CNTR,AHRF_TXC_SITE_CNTRL,AHRF_TXC_SITE_NO_CNTRL,AHRF_PHYSICIAN_ASSIST,AHRF_NURSE_PRACT,AHRF_RURAL_H_CLINIC,AHRF_MENTL_HLTH_CNT,AHRF_FED_HLTH_CNT,AHRF_DAYS_AIR_QLT,AHRF_PCT_GOOD_AQ,AHRF_HPSA_DENTIST,AHRF_HPSA_MENTAL,AHRF_HPSA_PRIM,CHR_MENTAL_DR_RATE,CHR_MENTAL_DR_NUM,CHR_ALCOHOL_DRIV_DEATH,CHR_TEEN_BIRTH,CHR_DENTIST_RATE,CHR_DENTISTS_NUM,CHR_POP_DENOMINATOR,CHR_PREMAT_DEATH_RATE,CHR_DRUG_OVERDOSE_DEATH,CHR_SEGREG_BLACK,CHR_SEGREG_NON_WHITE,CHR_HOMICIDES,CHR_FIREARM_DEATH,CCBP_RATE_FF_PER_1000,CCBP_RATE_CS_PER_1000,CCBP_RATE_SFS_PER_1000,CCBP_RATE_SOGS_PER_1000,CCBP_RATE_FSR_PER_1000,CCBP_RATE_CFHEORS_PER_1000,CCBP_RATE_CFS_PER_1000,CCBP_RATE_FCRSC_PER_1000,CCBP_RATE_BWLSTORES_PER_1000,CCBP_RATE_CHS_PER_1000,CCBP_RATE_GAMBLING_PER_1000,CCBP_RATE_SHELTERS_PER_1000,AMFAR_HIVDIAGNOSED,AMFAR_DISTSSP,AMFAR_AMATFAC,AMFAR_MEDAMATFAC,AMFAR_MHFAC,AMFAR_MEDMHFAC,AMFAR_HICVTFAC,AMFAR_MEDHICVTFAC,AMFAR_HCVTFAC,AMFAR_MEDHCVTFAC,AMFAR_HIVTFAC,AMFAR_MEDHIVTFAC,MP_ELIGIBLES,MP_ENROLLED,MP_PERCPEN,NHC_NUMFACS,NHC_BEDCOUNT,NHC_DAILY_RES,NHC_LIC_STAFF,CDC_OPIOID_DEATH,CDC_HEART_DISEASE_DEATH,NEPHTN_MONAAAC_PM25,NEPHTN_MONPD_PM25,NEPHTN_MONPDPM25_OVER,SVI_RPL_THEME1_SOCIECO,SVI_RPL_THEME2_HH_DISB,SVI_RPL_THEME3_MINO,SVI_RPL_THEME4_HH_TRANS,SVI_RPL_THEMES_ALL,CEN_AREALAND_SQM,CEN_POPDENSITY_2018,CAF_ADJ_COUNTY_1,CAF_ADJ_COUNTY_2,CAF_ADJ_COUNTY_3,CAF_ADJ_COUNTY_4,CAF_ADJ_COUNTY_5,CAF_ADJ_COUNTY_6,CAF_ADJ_COUNTY_7,CAF_ADJ_COUNTY_8,CAF_ADJ_COUNTY_9,CAF_ADJ_COUNTY_10,CAF_ADJ_COUNTY_11,CAF_ADJ_COUNTY_12,CAF_ADJ_COUNTY_13,CAF_ADJ_COUNTY_14
Alabama,South,Autauga County,1001,2018,2,3,3,0,55200,14.583,24.219,4.578,5.911,7.263,6.467,34.607,26.591,3.335,37.8,51.315,76.879,19.139,0.288,1.029,0.058,1.866,2.768,12.283,31.69,40.82,0.654,2.503,0.522,0.732,0.089,96.155,2.153,0.493,1.18,0.019,3.089,96.911,2.12,0.969,0.149,0.362,19.281,18.956,15.927,0.989,2.456,3.435,84.574,0.883,6.002,12.946,2.719,8.929,6.985,1.629,6.259,8.945,20.08,8.125,6.247,10.251,1.261,58786,57995,26203,29372,0.4602,15.378,4.222,22.692,11.885,68.515,35.06,4.781,15.195,13.01,1.345,12.652,32.619,23.131,1.416,5.641,18.353,3.8,21115,31.8,147900,53.066,25.105,9.436,2.59,25.115,74.895,34.128,40.747,9.013,7.502,34.796,26.72,38.485,14.997,0.464,79.086,13.01,5.588,78.859,97.857,0.109,0.644,1.389,23.361,37.477,33.495,5.667,53.846,0,0,46.154,0.767,14.146,5.313,59.987,7.139,45.445,5.492,1.203,2.075,3.045,5.363,0.221,7.83,25.044,15.579,64.105,8.358,53.116,6.417,6.212,11.311,32.608,28.392,15.883,11.806,56.081,31.011,44.347,2.727,1.385,1.509,1,0,0,2,21,0,0,2,,,2,2,2,16.22,9,26.79,25.28,32.37,18,55601,417.55,10.81,24.62,23.63,4.9,16.23,0.756307061,0.55822664,,0.054021933,0.630255884,,,0.144058488,0.054021933,,,,107,153.67,0,0,1,1,0,0,0,0,0,0,11095,4991,44.98,1,162,141.575,1.349575,,264.5,,,,0.3631,0.581,0.5947,0.3741,0.4354,594.4403797,92.86044805,1021,1047,1051,1085,1101,,,,,,,,,
Alabama,South,Baldwin County,1003,2018,3,5,4,0,208107,19.54,21.949,3.871,5.578,5.617,6.883,30.823,27.688,4.2,42.8,51.377,86.266,9.497,0.731,0.807,0.004,1.716,4.494,11.938,16.792,20.843,1.425,3.71,1.139,0.477,0.067,94.608,3.831,1.048,0.489,0.024,4.247,95.753,2.396,1.85,0.169,0.645,14.049,17.11,10.749,1.448,2.59,2.55,76.952,1.328,8.27,9.12,3.092,13.709,4.925,1.37,7.399,10.645,20.088,10.084,4.906,5.066,0.184,55962,40235,27345,31203,0.4609,10.566,4.523,16.873,13.137,71.774,38.65,7.005,10.678,7.932,1.372,15.303,20.652,20.225,1.26,3.441,11.68,18.305,78622,29.3,189800,48.301,26.381,29.767,2.61,30.39,73.619,24.981,28.721,3.656,9.817,34.032,17.774,48.194,16.933,0.574,78.702,11.431,7.245,78.126,97.703,0.096,0.741,1.46,23.83,34.123,34.192,7.855,9.756,29.268,25.61,35.366,1.219,11.985,6.879,61.34,10.155,42.068,9.192,1.549,0.458,3.922,1.605,0.469,7.566,20.938,13.998,66.263,12.512,51.907,11.271,1.99,9.735,27.607,31.312,20.703,10.643,62.658,36.46,32.218,4.151,1.052,1.842,6,1,0,32,119,0,2,4,270,90.74,2,1,2,91.24,194,30.77,27.88,49.54,108,218022,353.34,13.61,41.27,31.83,3.01,14.09,0.739023663,0.532464254,0.128525854,0.133116063,1.175093526,,,0.119345436,0.1009846,0.018360836,,0.022951045,313,146.5,0,0,4,2,0,0,0,0,1,0,51885,22189,42.77,7,110.2857143,80.8,1.7266475,,240.8,7.2,0,0,0.2232,0.199,0.4358,0.3359,0.2162,1589.784772,130.9026251,1025,1053,1097,1099,1129,12033,,,,,,,,
Alabama,South,Barbour County,1005,2018,6,5,6,0,25782,17.974,21.084,3.565,5.391,5.624,6.505,34.722,26.22,3.774,39.9,46.874,47.382,47.576,0.279,0.372,0.004,1.369,4.29,7.672,12.556,21.204,1.47,3.743,0.754,1.451,0.18,93.871,5.051,0.582,0.32,0.176,2.688,97.312,1.268,1.42,0.027,0.213,22.192,38.164,17.904,11.248,4.382,3.343,49.044,4.518,6.25,23.888,2.787,10.619,6.915,0.241,3.968,4.771,18.647,5.917,4.381,7.099,0,34186,27245,17768,18461,0.4731,28.863,6.007,38.292,17.952,47.178,19.92,12.721,26.044,27.749,2.841,15.895,52.262,53.077,3.407,9.242,29.187,1.273,9186,28.9,92900,47.601,38.602,23.046,2.49,32.55,61.398,24.078,43.373,8.609,14.772,33.499,27.895,38.605,18.5,0.599,61.137,23.949,10.592,60.396,95.467,0.261,2.16,2.112,41.379,28.231,22.369,8.022,100,0,0,0,4.158,27.659,5.9,45.136,11.179,29.298,6.346,1.49,0.533,3.09,1.171,1.093,7.862,35.823,30.531,47.099,13.802,36.307,7.744,1.453,26.969,35.69,25.125,7.797,4.419,37.341,34.273,12.428,4.379,3.404,3.412,2,0,0,1,11,1,0,3,,,2,2,2,7.91,2,40,40.87,36.17,9,24881,497.35,,25.04,23.45,7.62,17.76,0.964940495,0.924734641,,0.20102927,0.522676102,,,,,,,,100,144.25,0,0,2,2,0,0,0,0,0,0,6561,2444,37.25,1,180,152.8,1.7213475,,329.4,,,,0.978,0.9153,0.8558,0.9889,0.9959,884.9970513,29.13230045,1011,1045,1067,1109,1113,13061,13239,13259,,,,,,
Alabama,South,Bibb County,1007,2018,1,2,2,0,22527,16.252,20.682,4.071,5.66,5.229,5.722,35.77,27.296,4.062,39.9,46.056,76.655,22.275,0.036,0.164,0,0.83,2.428,7.152,11.502,25.43,0.687,1.101,0.998,0.216,0.052,97.633,2.037,0.311,0,0.019,1.864,98.136,0.994,0.87,0.337,0.275,16.67,28.84,14.029,9.282,3.563,0,54.331,5.988,9.013,18.706,1.716,9.149,4.889,1.309,4.581,4.692,22.805,4.396,7.482,5.272,0,45340,33341,21723,20199,0.4294,13.988,7.392,24.399,17.549,61.071,22.523,8.532,13.57,12.924,4.474,14.948,32.097,21.469,0.76,5.994,28.545,2.423,6840,28.5,96500,46.154,24.927,25.336,2.99,25.965,75.073,28.549,30.557,4.047,21.55,53.884,9.861,36.255,26.217,0.19,66.17,23.728,11.535,66.096,98.074,0.478,0.569,0.879,24.541,23.792,42.815,8.852,35.135,0,29.73,35.135,1.65,16.391,7.382,59.483,7.91,46.297,5.404,1.915,0.249,3.454,0.655,0.415,7.763,24.844,17.334,65.244,9.545,55.634,6.521,0.79,16.793,47.345,24.373,7.586,3.904,35.862,30.024,12.311,2.164,0.682,0.997,5,0,0,5,27,1,0,4,,,2,2,1,8.82,2,27.59,41.7,22.32,5,22400,589.04,28.06,52.6,52.6,8.23,23.94,0.312961059,0.581213395,,0.223543613,0.357669781,,,,,,,,45,163.25,0,0,,,0,0,0,0,0,0,5030,2514,49.98,1,131,111.125,1.426103333,,333.7,,,,0.7694,0.1203,0.4323,0.7189,0.6003,622.4578644,36.19040145,1021,1065,1073,1105,1117,1125,,,,,,,,
Alabama,South,Blount County,1009,2018,1,2,2,0,57645,17.752,23.364,4.087,6.046,6.301,6.93,32.074,26.811,4.033,40.8,50.674,95.505,1.495,0.245,0.343,0.031,1.622,9.127,8.532,13.865,13.254,1.461,4.66,1.579,1.366,0.358,92.037,7.421,0.364,0.087,0.092,4.616,95.384,1.776,2.84,0.43,0.189,14.193,26.007,11.576,0.942,1.98,6.34,61.671,2.281,9.463,16.411,3.598,11.759,6.863,1.251,5.837,7.678,19.695,4.624,5.954,4.586,0.111,48695,32852,26194,22656,0.4331,14.4,4.728,23.789,17.301,63.57,26.722,7.168,13.171,9.762,1.587,13.418,18.659,27.015,1.646,4.155,25.217,0.871,20600,27.3,124700,42.469,21.374,14.953,2.77,24.709,78.626,30.765,31.07,2.495,10.737,28.976,29.184,41.84,21.781,0.262,69.359,21.35,8.553,68.461,98.815,0.15,0.194,0.842,19.631,19.864,42.552,17.953,0,0,100,0,1.121,12.575,7.434,60.071,11.025,45.423,5.667,1.996,0.334,3.775,1.247,0.801,6.846,22.057,14.131,65.15,13.226,54.803,6.833,1.507,19.837,34.04,33.48,8.118,4.525,46.123,37.413,15.333,2.876,1.753,1.249,1,0,0,0,13,4,0,1,,,2,2,1,10.34,6,19.44,33.53,19.02,11,57840,515.61,24.2,48.21,17.69,6.43,20.07,0.432743072,0.467362518,,0.12116806,0.276955566,,,0.069238891,,,,,44,127.12,0,0,,,0,0,0,0,0,0,12841,6621,51.56,2,111.5,101.375,1.203255,,284,,,,0.6143,0.3187,0.5915,0.1741,0.4242,644.82712,89.39605393,1043,1055,1073,1095,1115,1127,,,,,,,,
Alabama,South,Bullock County,1011,2018,6,6,6,0,10352,15.611,20.769,3.671,5.757,6.124,5.216,36.872,26.748,3.449,39.6,45.296,21.986,76.246,1.179,0.541,0,0,0.493,4.34,17.978,25,1.053,1.076,0.39,0.441,0,98.093,1.035,0.564,0.236,0.072,1.236,98.764,1.236,0,0,0,14.442,24.607,12.278,4.154,5.824,0,64.398,5.939,4.924,33.756,0.939,6.472,5.203,0.431,2.31,4.949,16.218,8.198,4.112,6.548,0,32152,35255,20751,20346,0.5174,31.386,4.723,38.743,11.999,51.892,19.558,14.66,26.188,26.517,4.378,11.757,52.749,72.21,0,11.721,33.385,1.679,3609,33.7,77500,58.575,24.467,20.261,2.75,29.62,75.533,26.999,62.627,5.814,9.674,37.5,27.885,34.615,11.099,0,59.878,27.099,13.993,58.853,93.998,0,6.002,0,38.022,17.719,31.446,12.813,,,,,5.282,26.949,7.046,49.689,10.784,39.918,3.157,2.055,0.14,3.387,0.21,0.651,4.67,34.857,29.896,52.61,12.485,45.83,3.555,0.224,24.775,39.654,22.269,7.404,5.898,35.572,39.888,26.966,1.032,0,0,0,0,0,1,8,3,0,1,,,2,1,1,9.7,1,60,47.92,19.73,2,10138,562.25,,31.85,30.62,,21.04,0.294869275,0.786318066,,,,,,,,,,,48,135.67,0,0,2,2,0,0,0,0,0,0,2158,888,41.15,1,123,105.075,1.35694,,331.9,,,,0.9771,0.4438,0.6749,0.765,0.8898,622.8021417,16.62165126,1005,1011,1087,1101,1109,1113,,,,,,,,
Alabama,South,Butler County,1013,2018,6,6,6,0,20025,19.006,22.801,3.965,6.017,6.457,6.362,31.94,26.252,4.854,40.7,53.218,52.005,45.218,0.01,1.154,0,1.613,0.335,7.6,17.376,17.121,0.447,0.845,0.106,0.069,0.425,98.555,0.42,0.436,0.59,0,1.663,98.337,0.984,0.679,0,0.679,17.695,24.756,15.478,1.608,3.55,10.959,55.939,2.955,5.618,24.033,1.395,11.237,4.591,1.306,3.031,4.578,20.419,10.476,4.87,5.491,0.075,39109,32483,19231,20430,0.4708,23.545,6.723,33.866,17.801,51.931,19.421,12.476,22.863,18.918,1.476,14.877,42.62,46.17,1.774,7.752,26.182,1.337,6708,27.2,88300,45.814,30.054,33.094,2.94,30.501,69.946,23.636,36.558,3.942,13.907,47.874,29.449,22.677,17.262,0.447,62.999,29.89,7.051,62.15,97.855,0,0.942,1.203,33.15,33.346,26.808,6.695,,,,,2.523,18.03,8.625,51.997,10.16,36.181,5.569,2.858,0.887,4.13,1.074,0.436,9.679,28.165,19.966,56.07,12.483,44.254,6.83,1.32,15.416,43.858,24.633,9.677,6.416,40.726,36.986,22.774,2.372,1.343,2.778,0,1,0,0,13,3,1,1,,,2,1,1,35.31,7,27.45,37.89,30.49,6,19680,609.17,,38.01,37.51,19.21,24.01,1.018796801,1.069736641,,0.15281952,0.5093984,,,,,,,,57,196.5,0,0,3,3,0,0,0,0,0,0,4951,1082,21.85,2,104.5,89.2625,1.69692,,336.4,,,,0.8455,0.9077,0.6447,0.6259,0.8653,776.8341768,25.77770211,1035,1039,1041,1085,1099,1131,,,,,,,,
Alabama,South,Calhoun County,1015,2018,3,4,4,0,115098,16.843,21.891,4.024,5.701,5.946,6.219,34.431,26.835,3.799,39.7,51.941,74.335,20.57,0.307,0.925,0.008,2.377,3.652,10.656,18.117,20.651,1.048,2.539,0.65,0.788,0.204,95.819,3.075,0.527,0.51,0.07,3.6,96.4,2.243,1.357,0.303,0.336,20.78,33.162,17.989,2.704,4.975,4.015,71.35,1.233,6.037,17.638,2.423,12.644,4.612,1.526,4.352,7.201,21.741,8.503,4.917,7.17,0.315,45197,38996,22022,24706,0.4676,18.592,6.315,27.09,16.565,58.528,27.59,10.427,18.743,18.211,1.712,15.638,41.401,36.174,1.714,5.771,14.724,3.707,45033,29.1,113800,48.204,30.527,16.112,2.49,26.796,69.473,25.976,42.009,7.433,10.871,32.384,30.047,37.568,11.646,0.444,73.422,15.342,7.277,72.982,97.337,0.333,1.286,1.044,28.676,38.289,25.656,7.379,24.342,22.368,23.026,30.263,1.616,17.761,5.044,55.595,9.41,39.999,6.029,1.51,0.75,3.643,1.508,0.588,10.094,24.901,19.979,58.163,11.24,47.708,7.22,1.802,15.947,32.417,33.668,10.185,7.783,51.636,43.889,21.365,3.663,1.397,2.437,2,1,1,9,66,0,0,3,,,2,1,0,98.49,113,18.75,33.53,58.63,67,114277,574.56,18.33,44.54,40.68,9.76,26.43,0.865906884,0.717215803,,0.20991682,0.58601779,,0.026239603,0.043732671,0.043732671,0.026239603,,,253,82.83,0,0,4,3,1,1,1,1,2,1,27955,7399,26.47,5,133.4,111.87,1.3539165,,392.4,,,,0.7866,0.8303,0.6507,0.6492,0.8252,605.8641131,189.9732919,1019,1029,1055,1115,1121,,,,,,,,,
Alabama,South,Chambers County,1017,2018,6,5,5,0,33826,18.947,20.712,3.633,5.765,5.108,6.205,32.283,28.058,4.284,43,51.939,57.598,39.375,0.287,1.197,0,1.026,2.27,8.24,19.828,14.441,0.57,1.365,0.712,0.069,0.044,97.81,1.076,0.273,0.841,0,1.812,98.188,0.642,1.171,0.18,0.37,16.66,26.202,14.539,1.514,2.795,1.788,73.246,1.535,4.511,28.777,2.374,10.415,3.584,1.887,3.632,10.111,18.822,6.256,4.071,4.024,0.043,39872,27227,21814,22827,0.4568,16.623,8.117,28.54,20.298,54.962,22.163,17.531,15.902,14.893,0.747,14.796,32.96,45.818,2.989,7.317,14.004,3.999,13516,27.2,88400,42.746,32.236,20.405,2.46,31.622,67.764,21.836,33.211,1.955,17.228,48.964,22.784,28.252,15.102,0.185,67.039,24.238,8.76,66.477,98.437,0.191,0.644,0.729,24.94,42.729,26.751,5.581,22.222,33.333,0,44.444,3.08,19.041,8.578,53.869,10.807,40.607,4.591,1.427,0.278,2.602,0.823,0.613,6.269,29.055,20.983,57.468,13.228,49.548,5.58,0.959,18.6,38.448,29.719,9.336,3.896,42.951,40.405,14.239,4.364,0.535,8.148,1,0,0,0,7,0,0,2,,,2,1,2,5.93,2,28.57,45.44,17.85,6,33615,511.63,9.88,26.75,25.67,10.52,21.26,0.982142857,0.714285714,,0.178571429,0.535714286,,,,,,,,114,79.5,0,0,,,0,0,0,0,0,0,9078,2514,27.69,4,80,73.30625,1.284906875,,266.1,,,,0.6901,0.6609,0.4597,0.7943,0.7382,596.5575529,56.70198933,1081,1111,1123,13145,13285,,,,,,,,,
Alabama,South,Cherokee County,1019,2018,6,6,6,0,25853,21.742,20.446,4.224,4.657,5.686,5.879,28.391,29.42,3.895,45.9,50.412,92.821,4.901,0.913,0.213,0,0.805,1.539,10.142,11.505,14.717,0.745,0.698,0.126,0.402,0,98.775,0.872,0.093,0.101,0.158,0.843,99.157,0.553,0.29,0.062,0,19.971,18.299,17.554,1.06,2.721,0.316,81.443,3.335,7.262,26.272,0.898,11.015,7.384,1.03,1.836,4.712,23.253,4.681,2.162,6.16,0,41014,31250,21786,23356,0.4539,15.007,6.874,26.124,20.442,57.676,23.662,5.799,15.713,16.453,1.433,13.44,37.874,19.827,1.461,4.101,29.188,2.002,10606,29.2,123100,48.892,21.045,35.842,2.41,28.267,78.955,25.866,30.645,6.224,14.151,26.872,23.396,49.733,29.57,0.236,69.008,19.904,11.805,68.556,98.221,0.232,0.305,1.242,26.858,24.079,40.297,8.767,0,36.364,0,63.636,0.776,15.856,7.129,58.85,8.336,41.978,4.385,1.016,0.352,5.698,1.04,0.508,8.282,24.532,18.239,61.812,10.538,53.366,5.575,1.322,19.772,38.328,29.01,6.817,6.073,41.9,32.377,13.077,5.421,1.039,3.047,1,0,0,0,23,1,0,1,,,2,2,0,19.34,5,19.61,36.57,15.37,4,26032,545.23,12.88,32.06,29.49,8.8,27.02,0.653494272,0.768816791,,0.153763358,0.538171754,,,,,,,,26,77.5,0,0,2,2,0,0,0,0,1,1,7276,2419,33.25,1,185,169.45,1.7264975,,259.4,,,,0.6879,0.4492,0.2751,0.2741,0.4516,553.5219642,46.70636699,1015,1019,1029,1049,1055,13055,13115,13233,,,,,,
