"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote"
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2019,63.33,,N/A,5,918,No Different Than the National Rate,13.4,10.1,17.7,,N/A,5,N/A,5
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2019,50.91,,N/A,5,60,No Different Than the National Rate,11.8,8.3,16.4,,99.78,,N/A,5
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2019,N/A,5,N/A,5,2000,No Different Than the National Rate,11.7,9.0,15.0,,N/A,5,N/A,5
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691,2019,87.92,,N/A,5,388,No Different Than the National Rate,12.6,9.1,16.9,,99.41,,2.24,
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,07860,2019,37.07,,N/A,5,1304,No Different Than the National Rate,12.4,9.4,16.3,,N/A,5,N/A,5
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,1.41,
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH FREEWAY DBA MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018,2019,N/A,5,N/A,5,488,No Different Than the National Rate,13.7,10.1,18.9,,N/A,5,N/A,5
MIDWEST SURGERY CENTER LLC,26C0001147,1003171745,CAPE GIRARDEAU,MO,63703,2019,N/A,5,N/A,5,96,No Different Than the National Rate,12.2,8.8,17.0,,N/A,5,N/A,5
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202,2019,N/A,5,N/A,5,3965,No Different Than the National Rate,13.9,11.3,17.1,,N/A,5,N/A,5
