index,provider_number,npi,name,address,city,state,state_name,county_name,zip_code,latitude,longitude,endoscopy,cataract,colonoscopy_count,colonoscopy_performance,colonoscopy_rate,normothermia,anterior_vitrectomy,state_code,county_fips,tract_code,block_code,geo_msa_name,geo_msa_code,geo_medage,geo_malemedage,geo_femalemedage,geo_totalpop,geo_malepop,geo_malepop_percent,geo_femalepop,geo_femalepop_percent,geo_whitepop,geo_whitepop_percent,geo_blackpop,geo_blackpop_percent,geo_nativeamericanpop,geo_nativeamericanpop_percent,geo_asianpop,geo_asianpop_percent,geo_latinopop,geo_latinopop_percent,census_pop_2010,uic_code,description,urban_rural,year_facility
1,02C0001007,1508835299,"Alaska Digestive Center, Llc",4048 Laurel Street Suite 103A,Anchorage,AK,Alaska,Anchorage Municipality,99508,61.18,-149.83,95.56,NA,2239,No Different Than the NAtioNAl Rate,11.5,NA,NA,2,2020,1802,3003,"Anchorage, AK",11260,31.8,27.3,36.6,737,537,0.729,200,0.271,497,0.703,0,0,83,0.117,0,0,30,0.041,291826,2,Small-in a metro area with fewer than 1 million residents,0,2019
2,02C0001004,1548213077,Pacific Catrct & Laser Inst,"1600 ""A"" Street, Ste 200",Anchorage,AK,Alaska,Anchorage Municipality,99501,61.21,-149.88,NA,NA,NA,NA,NA,NA,0.81,2,2020,1000,1006,"Anchorage, AK",11260,44.4,51.1,43.4,979,498,0.509,481,0.491,489,0.54,46,0.051,120,0.132,111,0.123,73,0.075,291826,2,Small-in a metro area with fewer than 1 million residents,0,2019
3,02C0001000,1144612714,Surgery Center Of Anchorage,"4001 Laurel Street, Unit A",Anchorage,AK,Alaska,Anchorage Municipality,99508,61.18,-149.83,73.96,NA,361,No Different Than the NAtioNAl Rate,13.1,100,NA,2,2020,1802,3003,"Anchorage, AK",11260,31.8,27.3,36.6,737,537,0.729,200,0.271,497,0.703,0,0,83,0.117,0,0,30,0.041,291826,2,Small-in a metro area with fewer than 1 million residents,0,2019
4,02C0001005,1770605214,Anchorage Endoscopy Center,"3841 Debarr Road, Suite 51",Anchorage,AK,Alaska,Anchorage Municipality,99508,61.21,-149.81,100,NA,1198,No Different Than the NAtioNAl Rate,12,NA,NA,2,2020,901,2019,"Anchorage, AK",11260,24,21.6,30.1,2045,1025,0.501,1020,0.499,162,0.11,204,0.138,338,0.229,509,0.344,567,0.277,291826,2,Small-in a metro area with fewer than 1 million residents,0,2019
5,02C0001008,1184195877,Alaska Spine Institute Surgery Center Llc,3801 University Lake Drive Suite 100,Anchorage,AK,Alaska,Anchorage Municipality,99508,61.19,-149.8,NA,NA,NA,NA,NA,99.25,NA,2,2020,1602,1010,"Anchorage, AK",11260,24.8,31.1,21.8,857,427,0.498,430,0.502,351,0.427,12,0.015,216,0.263,127,0.155,35,0.041,291826,2,Small-in a metro area with fewer than 1 million residents,0,2019
6,02C0001012,1255652285,Surgery Center Of Fairbanks Llc,2310 Peger Road,Fairbanks,AK,Alaska,Fairbanks North Star Borough,99709,64.83,-147.78,NA,NA,205,No Different Than the NAtioNAl Rate,12.7,NA,NA,2,2090,700,3016,"Fairbanks, AK",21820,34.1,32.7,39.4,939,506,0.539,433,0.461,703,0.758,12,0.013,62,0.067,12,0.013,12,0.013,97581,2,Small-in a metro area with fewer than 1 million residents,0,2019
7,02C0001010,1821327560,Juneau Pain Center,"3200 Hospital Drive, Suite 100",Juneau,AK,Alaska,Juneau City and Borough,99801,58.33,-134.47,NA,NA,NA,NA,NA,100,NA,2,2110,400,4009,"Juneau, AK",27940,42.3,34.9,48.4,1230,609,0.495,621,0.505,953,0.812,0,0,87,0.074,56,0.048,56,0.046,31275,8,Micropolitan not adjacent to a metro area,1,2019
8,02C0001018,1073009304,Susitna Surgery Center Llc,2490 South Woodworth Loop Suite 100,Palmer,AK,Alaska,Matanuska-Susitna Borough,99645,61.56,-149.26,78.38,NA,96,No Different Than the NAtioNAl Rate,12.7,100,NA,2,2170,1100,1047,"Anchorage, AK",11260,34.1,34.8,33.2,3482,1721,0.494,1761,0.506,2644,0.776,178,0.052,232,0.068,11,0.003,74,0.021,88995,2,Small-in a metro area with fewer than 1 million residents,0,2019
9,02C0001015,1649534843,Surgery Center Of Wasilla Llc,"3035 Palmer-Wasilla, Highway, Suite 301",Wasilla,AK,Alaska,Matanuska-Susitna Borough,99654,61.59,-149.37,86.96,NA,276,No Different Than the NAtioNAl Rate,13,97.34,0,2,2170,1004,1028,"Anchorage, AK",11260,32.9,32.6,33.2,2251,1177,0.523,1074,0.477,1597,0.763,63,0.03,259,0.124,44,0.021,159,0.071,88995,2,Small-in a metro area with fewer than 1 million residents,0,2019
10,01C0001045,1881618403,Visionary Usa  Com Surgery Institute,411 North Section Street,Fairhope,AL,Alabama,Baldwin County,36532,30.54,-87.9,NA,NA,NA,NA,NA,NA,0.32,1,1003,11201,1013,"Daphne-Fairhope-Foley, AL",19300,33.6,30.1,36.3,3387,1801,0.532,1586,0.468,2614,0.772,377,0.111,0,0,396,0.117,0,0,182265,2,Small-in a metro area with fewer than 1 million residents,0,2019
